MgO200_Theta_plat-1,MgO200_Theta_plat-2,MgO200_Theta_plat-3,MgO200_2Theta_detect,MgO200_Int(muA),MgO200_d100,MgO200_a,Si400_Theta_plat-1,Si400_Theta_plat-2,Si400_Theta_plat-3,Si400_2Theta_detect,Si400_Int(muA),Si400_d400,Si400_a,LaAlO3100_Theta_plat-1,LaAlO3100_Theta_plat-2,LaAlO3100_Theta_plat-3,LaAlO3100_2Theta_detect,LaAlO3100_Int(muA),LaAlO3100_d100,LaAlO3100_a,LaAlO3200_Theta_plat-1,LaAlO3200_Theta_plat-2,LaAlO3200_Theta_plat-3,LaAlO3200_2Theta_detect,LaAlO3200_Int(muA),LaAlO3200_d200,LaAlO3200_a,LaAlO3300_Theta_plat-1,LaAlO3300_Theta_plat-2,LaAlO3300_Theta_plat-3,LaAlO3300_2Theta_detect,LaAlO3300_Int(muA),LaAlO3300_d200,LaAlO3300_a
21,46,30,43.5,86,,,34,31,30,69,82,,,11,58,10,23.9,64,,,24,12,10,48.3,48,,,37,45,10,75.5,66,,
21,45,50,,84,,,34,31,0,,79,,,11,57,50,,62,,,24,11,30,,47,,,37,44,50,,62,,
21,45,20,,82,,,34,30,10,,74,,,11,57,30,,60,,,24,11,20,,44,,,37,44,20,,52,,
21,45,0,,78,,,34,29,40,,68,,,11,57,20,,51,,,24,11,0,,42,,,37,44,0,,48,,
21,44,30,,70,,,34,29,10,,49,,,11,57,10,,44,,,24,10,40,,39,,,37,43,50,,42,,
21,43,30,,59,,,34,29,0,,39,,,11,57,0,,30,,,24,10,20,,34,,,37,43,30,,32,,
21,43,0,,49,,,34,28,50,,35,,,11,56,50,,18,,,24,10,0,,27,,,37,43,20,,25,,
21,42,30,,40,,,34,28,40,,26,,,11,58,40,,62,,,24,9,50,,24,,,37,43,10,,20,,
21,42,0,,32,,,34,28,30,,21,,,11,59,0,,60,,,24,9,40,,18,,,37,45,30,,64,,
21,41,40,,26,,,34,31,50,,77,,,11,59,20,,54,,,24,12,30,,46,,,37,45,50,,62,,
21,41,10,,20,,,34,32,10,,72,,,11,59,40,,44,,,24,13,0,,42,,,37,46,20,,58,,
21,47,0,,83,,,34,32,30,,64,,,12,0,0,,36,,,24,13,20,,38,,,37,46,40,,54,,
21,47,40,,82,,,34,32,50,,56,,,12,0,10,,29,,,24,13,50,,30,,,37,47,0,,48,,
21,48,20,,75,,,34,33,10,,44,,,12,0,20,,24,,,24,14,10,,26,,,37,47,20,,42,,
21,48,50,,70,,,34,33,20,,38,,,12,0,30,,21,,,24,14,30,,20,,,37,47,40,,36,,
21,49,20,,64,,,34,33,40,,31,,,,,,,,,,,,,,,,,37,48,0,,29,,
21,49,50,,58,,,34,34,0,,24,,,,,,,,,,,,,,,,,37,48,20,,23,,
21,50,20,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,50,50,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,51,20,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,51,50,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,52,20,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,52,40,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
