KAS_Theta_plat-1,KAS_Theta_plat-2,KAS_Theta_plat-3,KAS_2Theta_detect,KAS_Int(muA),Si440_Theta_plat-1,Si440_Theta_plat-2,Si440_Theta_plat-3,Si440_2Theta_detect,Si440_Int(muA),Si404_Theta_plat-1,Si404_Theta_plat-2,Si404_Theta_plat-3,Si404_2Theta_detect,Si404_Int(muA)
19,2,10,38.1,36,8,36,20,107,55,8,20,30,106.6,68
19,1,0,,30,8,35,0,,42,8,20,0,,62
19,0,40,,23,8,34,10,,34,8,19,40,,57
19,0,20,,16,8,33,20,,22,8,19,10,,48
19,0,0,,10,8,32,50,,14,8,18,40,,42
19,2,30,,32,8,37,30,,42,8,18,10,,32
19,2,50,,28,8,38,20,,36,8,17,50,,26
19,3,10,,26,8,39,0,,30,8,17,30,,18
19,3,50,,21,8,40,0,,26,8,17,10,,10
19,4,10,,18,8,40,50,,20,8,21,0,,64
19,4,30,,13,8,41,10,,15,8,22,0,,60
19,4,40,,10,,,,,,8,22,40,,54
,,,,,,,,,,8,23,10,,46
,,,,,,,,,,8,23,40,,40
,,,,,,,,,,8,24,0,,34
,,,,,,,,,,8,24,30,,28
,,,,,,,,,,8,25,0,,21
,,,,,,,,,,8,25,40,,12
