Temperature1,Execution1
Time(s),Temperature1(C)
0.0000,24.81
0.5000,24.81
1.0000,24.81
1.5000,24.81
2.0000,24.81
2.5000,24.81
3.0000,24.81
3.5000,24.81
4.0000,24.81
4.5000,24.80
5.0000,24.81
5.5000,24.81
6.0000,24.80
6.5000,24.81
7.0000,24.81
7.5000,24.81
8.0000,24.81
8.5000,24.81
9.0000,24.81
9.5000,24.83
10.0000,24.83
10.5000,24.83
11.0000,24.83
11.5000,24.85
12.0000,24.86
12.5000,24.87
13.0000,24.88
13.5000,24.89
14.0000,24.91
14.5000,24.92
15.0000,24.94
15.5000,24.95
16.0000,24.97
16.5000,24.99
17.0000,25.02
17.5000,25.04
18.0000,25.07
18.5000,25.10
19.0000,25.12
19.5000,25.15
20.0000,25.18
20.5000,25.21
21.0000,25.24
21.5000,25.27
22.0000,25.31
22.5000,25.34
23.0000,25.38
23.5000,25.42
24.0000,25.45
24.5000,25.49
25.0000,25.52
25.5000,25.55
26.0000,25.58
26.5000,25.61
27.0000,25.64
27.5000,25.68
28.0000,25.70
28.5000,25.73
29.0000,25.75
29.5000,25.78
30.0000,25.80
30.5000,25.82
31.0000,25.84
31.5000,25.85
32.0000,25.87
32.5000,25.89
33.0000,25.90
33.5000,25.91
34.0000,25.92
34.5000,25.93
35.0000,25.94
35.5000,25.94
36.0000,25.94
36.5000,25.95
37.0000,25.95
37.5000,25.96
38.0000,25.95
38.5000,25.95
39.0000,25.95
39.5000,25.94
40.0000,25.95
40.5000,25.94
41.0000,25.94
41.5000,25.94
42.0000,25.94
42.5000,25.94
43.0000,25.94
43.5000,25.95
44.0000,25.95
44.5000,25.95
45.0000,25.96
45.5000,25.97
46.0000,25.97
46.5000,25.98
47.0000,25.99
47.5000,26.00
48.0000,26.01
48.5000,26.02
49.0000,26.04
49.5000,26.06
50.0000,26.07
50.5000,26.09
51.0000,26.11
51.5000,26.13
52.0000,26.15
52.5000,26.17
53.0000,26.19
53.5000,26.22
54.0000,26.24
54.5000,26.26
55.0000,26.27
55.5000,26.30
56.0000,26.32
56.5000,26.34
57.0000,26.35
57.5000,26.38
58.0000,26.39
58.5000,26.40
59.0000,26.42
59.5000,26.44
60.0000,26.45
60.5000,26.46
61.0000,26.47
61.5000,26.47
62.0000,26.49
62.5000,26.49
63.0000,26.49
63.5000,26.49
64.0000,26.49
64.5000,26.49
65.0000,26.49
65.5000,26.49
66.0000,26.48
66.5000,26.47
67.0000,26.47
67.5000,26.46
68.0000,26.45
68.5000,26.44
69.0000,26.43
69.5000,26.43
70.0000,26.42
70.5000,26.41
71.0000,26.40
71.5000,26.40
72.0000,26.39
72.5000,26.38
73.0000,26.38
73.5000,26.37
74.0000,26.37
74.5000,26.37
75.0000,26.37
75.5000,26.37
76.0000,26.37
76.5000,26.37
77.0000,26.37
77.5000,26.38
78.0000,26.38
78.5000,26.39
79.0000,26.40
79.5000,26.42
80.0000,26.43
80.5000,26.44
81.0000,26.45
81.5000,26.47
82.0000,26.48
82.5000,26.50
83.0000,26.52
83.5000,26.53
84.0000,26.55
84.5000,26.56
85.0000,26.58
