Time(s),Temperature2(C)
0.0000,25.43
0.5000,25.43
1.0000,25.43
1.5000,25.42
2.0000,25.44
2.5000,25.44
3.0000,25.45
3.5000,25.44
4.0000,25.45
4.5000,25.46
5.0000,25.47
5.5000,25.49
6.0000,25.53
6.5000,25.55
7.0000,25.59
7.5000,25.62
8.0000,25.66
8.5000,25.71
9.0000,25.79
9.5000,25.85
10.0000,25.92
10.5000,25.99
11.0000,26.06
11.5000,26.12
12.0000,26.17
12.5000,26.23
13.0000,26.30
13.5000,26.38
14.0000,26.46
14.5000,26.55
15.0000,26.63
15.5000,26.72
16.0000,26.82
16.5000,26.91
17.0000,27.02
17.5000,27.11
18.0000,27.21
18.5000,27.30
19.0000,27.38
19.5000,27.47
20.0000,27.55
20.5000,27.62
21.0000,27.71
21.5000,27.80
22.0000,27.88
22.5000,27.94
23.0000,27.98
23.5000,28.02
24.0000,28.05
24.5000,28.08
25.0000,28.09
25.5000,28.10
26.0000,28.11
26.5000,28.11
27.0000,28.10
27.5000,28.08
28.0000,28.07
28.5000,28.05
29.0000,28.02
29.5000,27.99
30.0000,27.94
30.5000,27.90
31.0000,27.85
31.5000,27.80
32.0000,27.75
32.5000,27.70
33.0000,27.65
33.5000,27.60
34.0000,27.56
34.5000,27.50
35.0000,27.46
35.5000,27.41
36.0000,27.36
36.5000,27.33
37.0000,27.30
37.5000,27.28
38.0000,27.26
38.5000,27.25
39.0000,27.24
39.5000,27.23
40.0000,27.24
40.5000,27.24
41.0000,27.26
41.5000,27.28
42.0000,27.30
42.5000,27.33
43.0000,27.36
43.5000,27.41
44.0000,27.45
44.5000,27.50
45.0000,27.55
45.5000,27.62
46.0000,27.68
46.5000,27.75
47.0000,27.82
47.5000,27.89
48.0000,27.96
48.5000,28.03
49.0000,28.09
49.5000,28.17
50.0000,28.24
50.5000,28.30
51.0000,28.36
51.5000,28.41
52.0000,28.46
52.5000,28.50
53.0000,28.53
53.5000,28.54
54.0000,28.55
54.5000,28.56
55.0000,28.56
55.5000,28.57
56.0000,28.56
56.5000,28.54
57.0000,28.53
57.5000,28.50
58.0000,28.47
58.5000,28.43
59.0000,28.39
59.5000,28.33
60.0000,28.28
60.5000,28.23
61.0000,28.17
61.5000,28.13
62.0000,28.07
62.5000,28.01
63.0000,27.95
63.5000,27.88
64.0000,27.83
64.5000,27.78
65.0000,27.72
65.5000,27.67
66.0000,27.62
66.5000,27.58
67.0000,27.55
67.5000,27.52
68.0000,27.50
68.5000,27.48
69.0000,27.48
69.5000,27.46
70.0000,27.47
70.5000,27.48
71.0000,27.49
71.5000,27.50
72.0000,27.53
72.5000,27.56
73.0000,27.59
73.5000,27.64
74.0000,27.68
74.5000,27.73
75.0000,27.79
75.5000,27.85
76.0000,27.91
76.5000,27.98
77.0000,28.05
77.5000,28.11
78.0000,28.19
78.5000,28.30
79.0000,28.37
79.5000,28.44
80.0000,28.50
80.5000,28.55
81.0000,28.60
81.5000,28.64
82.0000,28.68
82.5000,28.70
83.0000,28.72
83.5000,28.74
84.0000,28.75
84.5000,28.76
85.0000,28.77
85.5000,28.76
86.0000,28.75
86.5000,28.73
87.0000,28.70
87.5000,28.67
88.0000,28.64
88.5000,28.61
89.0000,28.58
89.5000,28.53
90.0000,28.51
90.5000,28.45
91.0000,28.39
91.5000,28.33
92.0000,28.27
92.5000,28.20
93.0000,28.15
93.5000,28.08
94.0000,28.02
94.5000,27.96
95.0000,27.92
95.5000,27.88
96.0000,27.84
96.5000,27.79
97.0000,27.75
97.5000,27.72
98.0000,27.70
98.5000,27.67
99.0000,27.65
99.5000,27.65
100.0000,27.64
100.5000,27.65
101.0000,27.65
101.5000,27.67
102.0000,27.69
102.5000,27.72
103.0000,27.76
103.5000,27.80
104.0000,27.85
104.5000,27.89
105.0000,27.94
105.5000,28.00
106.0000,28.06
106.5000,28.13
107.0000,28.20
107.5000,28.27
108.0000,28.35
108.5000,28.44
109.0000,28.50
109.5000,28.56
110.0000,28.63
110.5000,28.68
111.0000,28.72
111.5000,28.76
112.0000,28.80
112.5000,28.84
113.0000,28.87
113.5000,28.88
114.0000,28.89
114.5000,28.90
115.0000,28.90
115.5000,28.89
116.0000,28.88
116.5000,28.87
117.0000,28.85
117.5000,28.84
118.0000,28.81
118.5000,28.77
119.0000,28.72
119.5000,28.68
120.0000,28.63
120.5000,28.58
121.0000,28.52
