Temperature2,Execution1
Time(s),Temperature2(C)
0.0000,25.34
0.5000,25.34
1.0000,25.35
1.5000,25.36
2.0000,25.37
2.5000,25.39
3.0000,25.40
3.5000,25.43
4.0000,25.45
4.5000,25.45
5.0000,25.49
5.5000,25.53
6.0000,25.56
6.5000,25.60
7.0000,25.65
7.5000,25.71
8.0000,25.77
8.5000,25.83
9.0000,25.88
9.5000,25.94
10.0000,26.00
10.5000,26.06
11.0000,26.11
11.5000,26.19
12.0000,26.25
12.5000,26.32
13.0000,26.40
13.5000,26.48
14.0000,26.50
14.5000,26.61
15.0000,26.68
15.5000,26.78
16.0000,26.87
16.5000,26.96
17.0000,27.07
17.5000,27.17
18.0000,27.26
18.5000,27.35
19.0000,27.47
19.5000,27.56
20.0000,27.63
20.5000,27.69
21.0000,27.74
21.5000,27.79
22.0000,27.81
22.5000,27.84
23.0000,27.86
23.5000,27.88
24.0000,27.87
24.5000,27.88
25.0000,27.88
25.5000,27.89
26.0000,27.85
26.5000,27.84
27.0000,27.81
27.5000,27.78
28.0000,27.74
28.5000,27.70
29.0000,27.65
29.5000,27.60
30.0000,27.56
30.5000,27.50
31.0000,27.45
31.5000,27.41
32.0000,27.37
32.5000,27.32
33.0000,27.25
33.5000,27.21
34.0000,27.15
34.5000,27.12
35.0000,27.10
35.5000,27.07
36.0000,27.06
36.5000,27.04
37.0000,27.02
37.5000,27.01
38.0000,27.00
38.5000,27.01
39.0000,27.01
39.5000,27.03
40.0000,27.05
40.5000,27.06
41.0000,27.11
41.5000,27.17
42.0000,27.24
42.5000,27.30
43.0000,27.36
43.5000,27.42
44.0000,27.48
44.5000,27.55
45.0000,27.61
45.5000,27.68
46.0000,27.74
46.5000,27.81
47.0000,27.89
47.5000,27.97
48.0000,28.08
48.5000,28.14
49.0000,28.20
49.5000,28.23
50.0000,28.28
50.5000,28.32
51.0000,28.37
51.5000,28.39
52.0000,28.44
52.5000,28.43
53.0000,28.43
53.5000,28.46
54.0000,28.46
54.5000,28.43
55.0000,28.43
55.5000,28.40
56.0000,28.38
56.5000,28.35
57.0000,28.31
57.5000,28.28
58.0000,28.25
58.5000,28.20
59.0000,28.15
59.5000,28.12
60.0000,28.08
60.5000,28.02
61.0000,27.97
61.5000,27.90
62.0000,27.86
62.5000,27.82
63.0000,27.76
63.5000,27.72
64.0000,27.65
64.5000,27.58
65.0000,27.54
65.5000,27.52
66.0000,27.48
66.5000,27.45
67.0000,27.43
67.5000,27.41
68.0000,27.39
68.5000,27.38
69.0000,27.38
69.5000,27.39
70.0000,27.41
70.5000,27.42
71.0000,27.46
71.5000,27.49
72.0000,27.52
72.5000,27.56
73.0000,27.62
73.5000,27.67
74.0000,27.72
74.5000,27.77
75.0000,27.83
75.5000,27.88
76.0000,27.95
76.5000,28.00
77.0000,28.06
77.5000,28.11
78.0000,28.20
78.5000,28.25
79.0000,28.30
79.5000,28.35
80.0000,28.41
80.5000,28.44
81.0000,28.48
81.5000,28.51
82.0000,28.52
82.5000,28.53
83.0000,28.55
83.5000,28.55
84.0000,28.52
84.5000,28.51
85.0000,28.50
85.5000,28.48
86.0000,28.46
86.5000,28.41
87.0000,28.38
87.5000,28.35
88.0000,28.32
88.5000,28.27
89.0000,28.21
89.5000,28.16
90.0000,28.11
90.5000,28.04
91.0000,27.99
91.5000,27.92
92.0000,27.85
92.5000,27.80
93.0000,27.74
93.5000,27.71
94.0000,27.67
94.5000,27.62
95.0000,27.59
95.5000,27.55
96.0000,27.52
96.5000,27.49
97.0000,27.48
97.5000,27.46
98.0000,27.46
98.5000,27.47
99.0000,27.47
99.5000,27.49
100.0000,27.51
100.5000,27.54
101.0000,27.57
101.5000,27.61
102.0000,27.63
102.5000,27.70
103.0000,27.77
103.5000,27.81
104.0000,27.89
104.5000,27.95
105.0000,28.03
105.5000,28.12
106.0000,28.24
106.5000,28.34
107.0000,28.41
107.5000,28.48
108.0000,28.51
108.5000,28.56
109.0000,28.61
109.5000,28.66
110.0000,28.70
110.5000,28.76
111.0000,28.79
111.5000,28.81
112.0000,28.84
112.5000,28.86
113.0000,28.84
113.5000,28.84
114.0000,28.84
114.5000,28.82
115.0000,28.78
115.5000,28.76
116.0000,28.74
116.5000,28.70
117.0000,28.65
117.5000,28.60
118.0000,28.57
118.5000,28.51
119.0000,28.45
119.5000,28.39
120.0000,28.33
120.5000,28.26
121.0000,28.20
121.5000,28.13
122.0000,28.07
122.5000,28.00
123.0000,27.94
123.5000,27.88
124.0000,27.84
124.5000,27.78
125.0000,27.73
125.5000,27.69
126.0000,27.65
126.5000,27.62
127.0000,27.60
127.5000,27.58
128.0000,27.57
128.5000,27.57
129.0000,27.56
129.5000,27.56
130.0000,27.58
130.5000,27.61
131.0000,27.63
131.5000,27.70
132.0000,27.73
132.5000,27.78
133.0000,27.84
133.5000,27.91
134.0000,27.95
134.5000,28.02
135.0000,28.08
135.5000,28.15
136.0000,28.19
136.5000,28.26
137.0000,28.34
137.5000,28.41
138.0000,28.49
138.5000,28.55
139.0000,28.60
139.5000,28.65
140.0000,28.68
140.5000,28.72
141.0000,28.74
141.5000,28.78
142.0000,28.80
142.5000,28.83
143.0000,28.84
143.5000,28.84
144.0000,28.84
144.5000,28.83
145.0000,28.81
145.5000,28.79
146.0000,28.77
146.5000,28.73
147.0000,28.69
147.5000,28.65
148.0000,28.60
148.5000,28.56
149.0000,28.51
149.5000,28.46
150.0000,28.40
150.5000,28.34
151.0000,28.28
151.5000,28.22
152.0000,28.15
152.5000,28.12
153.0000,28.06
153.5000,28.03
154.0000,28.00
154.5000,27.96
155.0000,27.93
155.5000,27.89
156.0000,27.87
156.5000,27.85
157.0000,27.85
157.5000,27.84
158.0000,27.84
158.5000,27.82
159.0000,27.84
159.5000,27.88
160.0000,27.90
160.5000,27.99
161.0000,28.07
161.5000,28.11
162.0000,28.13
162.5000,28.19
163.0000,28.26
163.5000,28.31
164.0000,28.39
164.5000,28.47
165.0000,28.55
165.5000,28.65
166.0000,28.71
166.5000,28.76
167.0000,28.81
167.5000,28.84
168.0000,28.91
168.5000,28.97
169.0000,29.04
169.5000,29.09
170.0000,29.14
170.5000,29.20
171.0000,29.21
171.5000,29.24
172.0000,29.26
