Temperature7	Execution1
Time(s)	Temperature7(C)
0.0000	25.52
0.5000	25.53
1.0000	25.52
1.5000	25.51
2.0000	25.51
2.5000	25.52
3.0000	25.50
3.5000	25.51
4.0000	25.51
4.5000	25.51
5.0000	25.51
5.5000	25.50
6.0000	25.50
6.5000	25.50
7.0000	25.50
7.5000	25.49
8.0000	25.50
8.5000	25.50
9.0000	25.49
9.5000	25.49
10.0000	25.49
10.5000	25.49
11.0000	25.48
11.5000	25.48
12.0000	25.47
12.5000	25.48
13.0000	25.47
13.5000	25.47
14.0000	25.47
14.5000	25.48
15.0000	25.48
15.5000	25.48
16.0000	25.48
16.5000	25.48
17.0000	25.48
17.5000	25.49
18.0000	25.48
18.5000	25.49
19.0000	25.48
19.5000	25.49
20.0000	25.49
20.5000	25.50
21.0000	25.50
21.5000	25.51
22.0000	25.50
22.5000	25.51
23.0000	25.52
23.5000	25.52
24.0000	25.52
24.5000	25.54
25.0000	25.54
25.5000	25.54
26.0000	25.55
26.5000	25.56
27.0000	25.56
27.5000	25.57
28.0000	25.57
28.5000	25.58
29.0000	25.58
29.5000	25.59
30.0000	25.60
30.5000	25.61
31.0000	25.62
31.5000	25.62
32.0000	25.63
32.5000	25.64
33.0000	25.65
33.5000	25.65
34.0000	25.66
34.5000	25.67
35.0000	25.68
35.5000	25.69
36.0000	25.70
36.5000	25.71
37.0000	25.71
37.5000	25.73
38.0000	25.74
38.5000	25.74
39.0000	25.75
39.5000	25.76
40.0000	25.76
40.5000	25.78
41.0000	25.78
41.5000	25.79
42.0000	25.79
42.5000	25.80
43.0000	25.81
43.5000	25.81
44.0000	25.82
44.5000	25.83
45.0000	25.84
45.5000	25.85
46.0000	25.86
46.5000	25.86
47.0000	25.87
47.5000	25.88
48.0000	25.88
48.5000	25.89
49.0000	25.90
49.5000	25.90
50.0000	25.91
50.5000	25.91
51.0000	25.92
51.5000	25.93
52.0000	25.93
52.5000	25.93
53.0000	25.94
53.5000	25.94
54.0000	25.94
54.5000	25.95
55.0000	25.96
55.5000	25.96
56.0000	25.96
56.5000	25.97
57.0000	25.97
57.5000	25.97
58.0000	25.98
58.5000	25.98
59.0000	25.99
59.5000	26.00
60.0000	26.00
60.5000	26.00
61.0000	26.01
61.5000	26.01
62.0000	26.01
62.5000	26.02
63.0000	26.03
63.5000	26.03
64.0000	26.04
64.5000	26.04
65.0000	26.04
65.5000	26.04
66.0000	26.05
66.5000	26.06
67.0000	26.06
67.5000	26.06
68.0000	26.07
68.5000	26.08
69.0000	26.09
69.5000	26.10
70.0000	26.10
70.5000	26.11
71.0000	26.12
71.5000	26.12
72.0000	26.13
72.5000	26.14
73.0000	26.15
73.5000	26.15
74.0000	26.16
74.5000	26.17
75.0000	26.18
75.5000	26.18
76.0000	26.19
76.5000	26.20
77.0000	26.20
77.5000	26.21
78.0000	26.22
78.5000	26.23
79.0000	26.23
79.5000	26.24
80.0000	26.25
80.5000	26.26
81.0000	26.27
81.5000	26.27
82.0000	26.28
82.5000	26.30
83.0000	26.30
83.5000	26.30
84.0000	26.31
84.5000	26.32
