Time(s),Temperature7(C)
0.0000,28.41
0.5000,28.41
1.0000,28.41
1.5000,28.40
2.0000,28.39
2.5000,28.39
3.0000,28.39
3.5000,28.38
4.0000,28.37
4.5000,28.37
5.0000,28.37
5.5000,28.37
6.0000,28.36
6.5000,28.35
7.0000,28.35
7.5000,28.34
8.0000,28.34
8.5000,28.34
9.0000,28.34
9.5000,28.33
10.0000,28.32
10.5000,28.32
11.0000,28.32
11.5000,28.32
12.0000,28.31
12.5000,28.31
13.0000,28.30
13.5000,28.30
14.0000,28.30
14.5000,28.29
15.0000,28.29
15.5000,28.29
16.0000,28.28
16.5000,28.28
17.0000,28.28
17.5000,28.28
18.0000,28.27
18.5000,28.27
19.0000,28.26
19.5000,28.26
20.0000,28.26
20.5000,28.26
21.0000,28.26
21.5000,28.26
22.0000,28.25
22.5000,28.25
23.0000,28.26
23.5000,28.25
24.0000,28.25
24.5000,28.25
25.0000,28.24
25.5000,28.24
26.0000,28.24
26.5000,28.25
27.0000,28.25
27.5000,28.24
28.0000,28.25
28.5000,28.25
29.0000,28.25
29.5000,28.25
30.0000,28.25
30.5000,28.25
31.0000,28.26
31.5000,28.26
32.0000,28.26
32.5000,28.26
33.0000,28.26
33.5000,28.27
34.0000,28.27
34.5000,28.27
35.0000,28.28
35.5000,28.27
36.0000,28.28
36.5000,28.29
37.0000,28.30
37.5000,28.30
38.0000,28.31
38.5000,28.32
39.0000,28.32
39.5000,28.33
40.0000,28.33
40.5000,28.34
41.0000,28.35
41.5000,28.35
42.0000,28.36
42.5000,28.36
43.0000,28.38
43.5000,28.38
44.0000,28.39
44.5000,28.40
45.0000,28.41
45.5000,28.41
46.0000,28.42
46.5000,28.42
47.0000,28.43
47.5000,28.44
48.0000,28.45
48.5000,28.46
49.0000,28.47
49.5000,28.48
50.0000,28.48
50.5000,28.50
51.0000,28.50
51.5000,28.51
52.0000,28.51
52.5000,28.53
53.0000,28.54
53.5000,28.54
54.0000,28.56
54.5000,28.56
55.0000,28.57
55.5000,28.59
56.0000,28.60
56.5000,28.61
57.0000,28.62
57.5000,28.63
58.0000,28.64
58.5000,28.65
59.0000,28.66
59.5000,28.67
60.0000,28.68
60.5000,28.69
61.0000,28.70
61.5000,28.71
62.0000,28.73
62.5000,28.74
63.0000,28.75
63.5000,28.75
64.0000,28.76
64.5000,28.77
65.0000,28.78
65.5000,28.79
66.0000,28.80
66.5000,28.81
67.0000,28.81
67.5000,28.83
68.0000,28.84
68.5000,28.85
69.0000,28.85
69.5000,28.87
70.0000,28.87
70.5000,28.88
71.0000,28.89
71.5000,28.89
72.0000,28.90
72.5000,28.91
73.0000,28.92
73.5000,28.92
74.0000,28.93
74.5000,28.94
75.0000,28.94
75.5000,28.95
76.0000,28.96
76.5000,28.97
77.0000,28.96
77.5000,28.97
78.0000,28.98
78.5000,28.97
79.0000,28.98
79.5000,28.98
80.0000,28.99
80.5000,28.98
81.0000,28.99
81.5000,28.99
82.0000,28.99
82.5000,29.00
83.0000,28.99
83.5000,28.99
84.0000,28.99
84.5000,29.00
85.0000,28.99
85.5000,29.00
86.0000,28.99
86.5000,29.00
87.0000,28.98
87.5000,28.99
88.0000,28.98
88.5000,28.98
89.0000,28.98
89.5000,28.99
90.0000,28.98
90.5000,28.98
91.0000,28.98
91.5000,28.98
92.0000,28.98
92.5000,28.97
93.0000,28.98
93.5000,28.97
94.0000,28.97
94.5000,28.96
95.0000,28.97
95.5000,28.96
96.0000,28.96
96.5000,28.96
97.0000,28.95
97.5000,28.95
98.0000,28.95
98.5000,28.94
99.0000,28.94
99.5000,28.93
100.0000,28.92
100.5000,28.93
101.0000,28.92
101.5000,28.92
102.0000,28.92
102.5000,28.92
103.0000,28.92
103.5000,28.91
104.0000,28.91
104.5000,28.91
105.0000,28.90
105.5000,28.91
106.0000,28.90
106.5000,28.90
107.0000,28.90
107.5000,28.90
108.0000,28.90
108.5000,28.90
109.0000,28.89
109.5000,28.89
110.0000,28.90
110.5000,28.89
111.0000,28.88
111.5000,28.89
112.0000,28.89
112.5000,28.89
113.0000,28.89
113.5000,28.89
114.0000,28.89
114.5000,28.89
115.0000,28.88
115.5000,28.89
116.0000,28.89
116.5000,28.89
117.0000,28.90
117.5000,28.90
118.0000,28.90
118.5000,28.90
119.0000,28.90
119.5000,28.91
120.0000,28.92
120.5000,28.92
121.0000,28.92
121.5000,28.93
122.0000,28.93
122.5000,28.94
123.0000,28.94
123.5000,28.94
124.0000,28.94
124.5000,28.95
125.0000,28.96
125.5000,28.96
126.0000,28.97
126.5000,28.98
127.0000,28.98
127.5000,28.98
128.0000,28.99
128.5000,29.00
129.0000,29.00
129.5000,29.02
130.0000,29.02
130.5000,29.03
131.0000,29.03
131.5000,29.04
132.0000,29.05
132.5000,29.05
133.0000,29.06
133.5000,29.07
134.0000,29.07
134.5000,29.08
135.0000,29.09
135.5000,29.09
136.0000,29.10
136.5000,29.11
137.0000,29.12
137.5000,29.12
138.0000,29.12
138.5000,29.14
139.0000,29.15
139.5000,29.15
140.0000,29.15
140.5000,29.17
141.0000,29.17
141.5000,29.17
142.0000,29.19
142.5000,29.19
143.0000,29.19
143.5000,29.20
144.0000,29.21
144.5000,29.22
145.0000,29.22
145.5000,29.23
146.0000,29.23
146.5000,29.23
147.0000,29.25
147.5000,29.25
148.0000,29.26
148.5000,29.26
149.0000,29.27
149.5000,29.27
150.0000,29.27
150.5000,29.28
151.0000,29.28
151.5000,29.29
152.0000,29.29
152.5000,29.29
153.0000,29.30
153.5000,29.30
154.0000,29.31
154.5000,29.31
155.0000,29.32
155.5000,29.32
156.0000,29.32
