Temperature8,Execution1
Time(s),Temperature8(C)
0.0000,25.12
0.5000,25.12
1.0000,25.12
1.5000,25.13
2.0000,25.12
2.5000,25.13
3.0000,25.12
3.5000,25.12
4.0000,25.12
4.5000,25.12
5.0000,25.12
5.5000,25.12
6.0000,25.12
6.5000,25.12
7.0000,25.12
7.5000,25.12
8.0000,25.12
8.5000,25.11
9.0000,25.12
9.5000,25.12
10.0000,25.12
10.5000,25.12
11.0000,25.12
11.5000,25.12
12.0000,25.12
12.5000,25.11
13.0000,25.12
13.5000,25.11
14.0000,25.11
14.5000,25.12
15.0000,25.12
15.5000,25.12
16.0000,25.11
16.5000,25.12
17.0000,25.12
17.5000,25.12
18.0000,25.11
18.5000,25.12
19.0000,25.12
19.5000,25.12
20.0000,25.12
20.5000,25.12
21.0000,25.12
21.5000,25.11
22.0000,25.11
22.5000,25.11
23.0000,25.12
23.5000,25.11
24.0000,25.11
24.5000,25.12
25.0000,25.11
25.5000,25.11
26.0000,25.11
26.5000,25.12
27.0000,25.11
27.5000,25.11
28.0000,25.11
28.5000,25.11
29.0000,25.11
29.5000,25.11
30.0000,25.11
30.5000,25.11
31.0000,25.12
31.5000,25.11
32.0000,25.11
32.5000,25.11
33.0000,25.11
33.5000,25.11
34.0000,25.11
34.5000,25.11
35.0000,25.11
35.5000,25.11
36.0000,25.11
36.5000,25.11
37.0000,25.11
37.5000,25.11
38.0000,25.11
38.5000,25.11
39.0000,25.11
39.5000,25.11
40.0000,25.11
40.5000,25.11
41.0000,25.11
41.5000,25.11
42.0000,25.11
42.5000,25.12
43.0000,25.11
43.5000,25.12
44.0000,25.12
44.5000,25.11
45.0000,25.12
45.5000,25.11
46.0000,25.12
46.5000,25.12
47.0000,25.11
47.5000,25.12
48.0000,25.12
48.5000,25.12
49.0000,25.12
49.5000,25.12
50.0000,25.12
50.5000,25.13
51.0000,25.12
51.5000,25.13
52.0000,25.13
52.5000,25.13
53.0000,25.13
53.5000,25.13
54.0000,25.13
54.5000,25.13
55.0000,25.13
