Time(s),Temperature6(C)
0.0000,24.00
0.5000,24.07
1.0000,24.15
1.5000,24.24
2.0000,24.33
2.5000,24.43
3.0000,24.54
3.5000,24.65
4.0000,24.76
4.5000,24.87
5.0000,24.98
5.5000,25.09
6.0000,25.19
6.5000,25.31
7.0000,25.41
7.5000,25.54
8.0000,25.65
8.5000,25.75
9.0000,25.86
9.5000,25.96
10.0000,26.06
10.5000,26.16
11.0000,26.25
11.5000,26.35
12.0000,26.44
12.5000,26.54
13.0000,26.62
13.5000,26.71
14.0000,26.78
14.5000,26.87
15.0000,26.96
15.5000,27.03
16.0000,27.11
16.5000,27.19
17.0000,27.26
17.5000,27.34
18.0000,27.41
18.5000,27.48
19.0000,27.54
19.5000,27.61
20.0000,27.69
20.5000,27.75
21.0000,27.82
21.5000,27.88
22.0000,27.94
22.5000,28.00
23.0000,28.05
23.5000,28.12
24.0000,28.17
24.5000,28.23
25.0000,28.28
25.5000,28.33
26.0000,28.39
26.5000,28.44
27.0000,28.49
27.5000,28.54
28.0000,28.59
28.5000,28.64
29.0000,28.68
29.5000,28.73
30.0000,28.78
30.5000,28.83
31.0000,28.87
31.5000,28.92
32.0000,28.96
32.5000,29.01
33.0000,29.05
33.5000,29.09
34.0000,29.14
34.5000,29.18
35.0000,29.22
35.5000,29.27
36.0000,29.31
36.5000,29.35
37.0000,29.39
37.5000,29.44
38.0000,29.46
38.5000,29.51
39.0000,29.55
39.5000,29.58
40.0000,29.62
40.5000,29.66
41.0000,29.70
41.5000,29.74
42.0000,29.77
42.5000,29.81
43.0000,29.85
43.5000,29.88
44.0000,29.92
44.5000,29.95
45.0000,29.98
45.5000,30.02
46.0000,30.05
46.5000,30.08
47.0000,30.12
47.5000,30.15
48.0000,30.19
48.5000,30.22
49.0000,30.25
49.5000,30.28
50.0000,30.31
50.5000,30.34
51.0000,30.39
51.5000,30.42
52.0000,30.45
52.5000,30.48
53.0000,30.51
53.5000,30.54
54.0000,30.57
54.5000,30.59
55.0000,30.62
55.5000,30.65
56.0000,30.68
56.5000,30.71
57.0000,30.73
57.5000,30.77
58.0000,30.80
58.5000,30.83
59.0000,30.85
59.5000,30.88
60.0000,30.91
60.5000,30.93
61.0000,30.96
61.5000,30.99
62.0000,31.02
62.5000,31.05
63.0000,31.07
63.5000,31.10
64.0000,31.13
64.5000,31.16
65.0000,31.18
65.5000,31.20
66.0000,31.23
66.5000,31.25
67.0000,31.28
67.5000,31.30
68.0000,31.33
68.5000,31.36
69.0000,31.38
69.5000,31.41
70.0000,31.44
70.5000,31.45
71.0000,31.48
71.5000,31.51
72.0000,31.53
72.5000,31.55
73.0000,31.57
73.5000,31.60
74.0000,31.63
74.5000,31.65
75.0000,31.66
75.5000,31.69
76.0000,31.72
76.5000,31.74
77.0000,31.76
77.5000,31.78
78.0000,31.81
78.5000,31.86
79.0000,31.88
79.5000,31.90
80.0000,31.92
80.5000,31.95
81.0000,31.97
81.5000,31.99
82.0000,32.01
82.5000,32.03
83.0000,32.05
83.5000,32.07
84.0000,32.09
84.5000,32.11
85.0000,32.14
85.5000,32.16
86.0000,32.18
86.5000,32.20
87.0000,32.22
87.5000,32.24
88.0000,32.26
88.5000,32.28
89.0000,32.30
89.5000,32.32
90.0000,32.34
90.5000,32.36
91.0000,32.38
91.5000,32.40
92.0000,32.42
92.5000,32.44
93.0000,32.46
93.5000,32.48
94.0000,32.50
