Temperature7	Execution1
Time(s)	Temperature7(C)
0.0000	23.88
0.5000	23.88
1.0000	23.88
1.5000	23.88
2.0000	23.89
2.5000	23.91
3.0000	23.89
3.5000	23.90
4.0000	23.90
4.5000	23.91
5.0000	23.89
5.5000	23.89
6.0000	23.87
6.5000	23.88
7.0000	23.88
7.5000	23.92
8.0000	23.92
8.5000	23.92
9.0000	23.92
9.5000	23.92
10.0000	23.93
10.5000	23.93
11.0000	23.93
11.5000	23.94
12.0000	23.94
12.5000	23.96
13.0000	23.95
13.5000	23.97
14.0000	23.94
14.5000	23.97
15.0000	23.98
15.5000	23.98
16.0000	23.99
16.5000	24.00
17.0000	24.01
17.5000	24.02
18.0000	24.03
18.5000	24.05
19.0000	24.06
19.5000	24.07
20.0000	24.09
20.5000	24.10
21.0000	24.12
21.5000	24.12
22.0000	24.13
22.5000	24.14
23.0000	24.15
23.5000	24.18
24.0000	24.19
24.5000	24.21
25.0000	24.22
25.5000	24.23
26.0000	24.24
26.5000	24.26
27.0000	24.27
27.5000	24.29
28.0000	24.30
28.5000	24.32
29.0000	24.33
29.5000	24.35
30.0000	24.37
30.5000	24.37
31.0000	24.39
31.5000	24.40
32.0000	24.41
32.5000	24.43
33.0000	24.45
33.5000	24.47
34.0000	24.49
34.5000	24.50
35.0000	24.51
35.5000	24.54
36.0000	24.56
36.5000	24.58
37.0000	24.59
37.5000	24.60
38.0000	24.61
38.5000	24.62
39.0000	24.64
39.5000	24.65
40.0000	24.68
40.5000	24.70
41.0000	24.72
41.5000	24.74
42.0000	24.76
42.5000	24.78
43.0000	24.79
43.5000	24.81
44.0000	24.83
44.5000	24.84
45.0000	24.87
45.5000	24.89
46.0000	24.91
46.5000	24.93
47.0000	24.94
47.5000	24.96
48.0000	24.98
48.5000	24.99
49.0000	25.00
49.5000	25.02
50.0000	25.04
50.5000	25.04
51.0000	25.11
51.5000	25.13
52.0000	25.14
52.5000	25.16
53.0000	25.17
53.5000	25.19
54.0000	25.21
54.5000	25.19
55.0000	25.20
55.5000	25.21
56.0000	25.24
56.5000	25.27
57.0000	25.28
57.5000	25.31
58.0000	25.33
58.5000	25.34
59.0000	25.36
59.5000	25.37
60.0000	25.39
60.5000	25.40
61.0000	25.42
61.5000	25.43
62.0000	25.45
62.5000	25.47
63.0000	25.48
63.5000	25.50
64.0000	25.52
64.5000	25.53
65.0000	25.55
65.5000	25.56
66.0000	25.57
66.5000	25.59
67.0000	25.61
67.5000	25.62
68.0000	25.64
68.5000	25.65
69.0000	25.68
69.5000	25.69
70.0000	25.71
70.5000	25.72
71.0000	25.73
71.5000	25.75
72.0000	25.76
72.5000	25.77
73.0000	25.79
73.5000	25.80
74.0000	25.82
74.5000	25.83
75.0000	25.84
75.5000	25.87
76.0000	25.86
76.5000	25.88
77.0000	25.88
77.5000	25.88
78.0000	25.90
78.5000	26.00
79.0000	26.01
79.5000	26.02
80.0000	26.03
80.5000	26.04
81.0000	26.05
81.5000	26.06
82.0000	26.08
82.5000	26.09
83.0000	26.10
83.5000	26.11
84.0000	26.12
84.5000	26.14
85.0000	26.15
85.5000	26.17
86.0000	26.18
86.5000	26.20
87.0000	26.22
87.5000	26.23
88.0000	26.25
88.5000	26.27
89.0000	26.27
89.5000	26.28
90.0000	26.30
90.5000	26.31
91.0000	26.33
91.5000	26.33
92.0000	26.34
92.5000	26.36
93.0000	26.37
93.5000	26.38
94.0000	26.40
94.5000	26.40
95.0000	26.41
95.5000	26.42
96.0000	26.44
96.5000	26.44
97.0000	26.46
97.5000	26.48
98.0000	26.49
98.5000	26.50
99.0000	26.51
99.5000	26.52
100.0000	26.54
100.5000	26.55
101.0000	26.55
101.5000	26.56
102.0000	26.57
102.5000	26.58
103.0000	26.60
103.5000	26.60
104.0000	26.61
104.5000	26.62
105.0000	26.64
105.5000	26.65
106.0000	26.67
106.5000	26.68
107.0000	26.69
107.5000	26.70
108.0000	26.71
108.5000	26.73
109.0000	26.74
109.5000	26.76
110.0000	26.76
110.5000	26.77
111.0000	26.79
111.5000	26.79
112.0000	26.80
112.5000	26.81
113.0000	26.82
113.5000	26.83
114.0000	26.83
114.5000	26.85
115.0000	26.86
115.5000	26.86
116.0000	26.87
116.5000	26.88
117.0000	26.89
117.5000	26.89
118.0000	26.90
118.5000	26.90
119.0000	26.91
119.5000	26.92
120.0000	26.92
120.5000	26.92
121.0000	26.92
121.5000	26.92
122.0000	26.92
122.5000	26.93
123.0000	26.92
123.5000	26.93
124.0000	26.93
124.5000	26.92
125.0000	26.93
125.5000	26.93
126.0000	26.93
126.5000	26.93
127.0000	26.93
127.5000	26.92
128.0000	26.93
128.5000	26.92
129.0000	26.92
129.5000	26.92
130.0000	26.92
130.5000	26.92
131.0000	26.91
131.5000	26.91
132.0000	26.91
132.5000	26.91
133.0000	26.91
133.5000	26.90
134.0000	26.89
134.5000	26.89
135.0000	26.88
135.5000	26.88
136.0000	26.88
136.5000	26.88
137.0000	26.87
137.5000	26.86
138.0000	26.86
138.5000	26.85
139.0000	26.85
139.5000	26.84
140.0000	26.83
140.5000	26.83
141.0000	26.82
141.5000	26.82
142.0000	26.81
142.5000	26.81
143.0000	26.80
143.5000	26.79
144.0000	26.79
144.5000	26.78
145.0000	26.77
145.5000	26.76
146.0000	26.76
146.5000	26.75
147.0000	26.74
147.5000	26.73
148.0000	26.73
148.5000	26.72
149.0000	26.71
149.5000	26.71
150.0000	26.70
150.5000	26.69
151.0000	26.69
151.5000	26.69
152.0000	26.68
152.5000	26.66
153.0000	26.66
153.5000	26.65
154.0000	26.63
154.5000	26.64
155.0000	26.63
155.5000	26.62
156.0000	26.61
156.5000	26.60
157.0000	26.60
157.5000	26.59
158.0000	26.58
158.5000	26.57
159.0000	26.56
159.5000	26.56
160.0000	26.55
160.5000	26.54
161.0000	26.53
161.5000	26.53
162.0000	26.52
162.5000	26.51
163.0000	26.51
163.5000	26.50
164.0000	26.50
164.5000	26.49
165.0000	26.48
165.5000	26.46
166.0000	26.46
166.5000	26.44
167.0000	26.44
167.5000	26.43
168.0000	26.43
168.5000	26.42
169.0000	26.41
169.5000	26.40
170.0000	26.39
170.5000	26.39
171.0000	26.38
171.5000	26.37
172.0000	26.37
172.5000	26.36
173.0000	26.35
173.5000	26.34
174.0000	26.34
174.5000	26.33
175.0000	26.32
175.5000	26.31
176.0000	26.31
176.5000	26.30
177.0000	26.30
177.5000	26.28
178.0000	26.28
178.5000	26.28
179.0000	26.27
179.5000	26.26
180.0000	26.26
180.5000	26.24
181.0000	26.24
181.5000	26.23
182.0000	26.23
182.5000	26.22
183.0000	26.21
183.5000	26.21
184.0000	26.20
184.5000	26.19
185.0000	26.19
185.5000	26.18
186.0000	26.18
186.5000	26.16
187.0000	26.16
187.5000	26.16
188.0000	26.15
188.5000	26.14
189.0000	26.14
189.5000	26.13
190.0000	26.12
190.5000	26.11
191.0000	26.12
191.5000	26.11
192.0000	26.10
192.5000	26.10
193.0000	26.09
193.5000	26.08
194.0000	26.07
194.5000	26.07
195.0000	26.07
195.5000	26.06
196.0000	26.04
196.5000	26.05
197.0000	26.04
197.5000	26.03
198.0000	26.03
198.5000	26.02
199.0000	26.02
199.5000	26.01
200.0000	26.00
200.5000	26.00
201.0000	25.99
201.5000	25.99
202.0000	25.98
202.5000	25.98
203.0000	25.97
203.5000	25.97
204.0000	25.96
204.5000	25.96
205.0000	25.95
205.5000	25.94
206.0000	25.94
206.5000	25.94
207.0000	25.93
207.5000	25.93
208.0000	25.92
208.5000	25.92
209.0000	25.92
209.5000	25.91
210.0000	25.90
210.5000	25.90
211.0000	25.90
211.5000	25.89
212.0000	25.88
212.5000	25.88
213.0000	25.87
213.5000	25.87
214.0000	25.86
214.5000	25.86
215.0000	25.85
215.5000	25.86
216.0000	25.85
216.5000	25.84
217.0000	25.84
217.5000	25.84
218.0000	25.83
218.5000	25.83
219.0000	25.82
219.5000	25.81
220.0000	25.81
220.5000	25.81
221.0000	25.81
221.5000	25.80
222.0000	25.79
222.5000	25.80
223.0000	25.79
223.5000	25.79
224.0000	25.78
224.5000	25.78
225.0000	25.77
225.5000	25.77
226.0000	25.77
226.5000	25.76
227.0000	25.76
227.5000	25.75
228.0000	25.75
228.5000	25.74
229.0000	25.74
229.5000	25.73
230.0000	25.73
230.5000	25.73
231.0000	25.72
231.5000	25.72
232.0000	25.72
232.5000	25.71
233.0000	25.71
233.5000	25.71
234.0000	25.70
